ID,Name,TEU,Deadweight,Depth,Displacement,Draught,Length
1,SAFMARINE MAFADI,4650,61433,21.7,82287,13.5,292.08
2,AITOLIKOS,4360,52408,19.3,68242,12.62,259.8
3,ALABAMA,4250,50157,19.3,67906,12.6,261.08
4,ALEXANDER BAY,4253,50760,19.3,67271,12.6,260.05
5,ALS APOLLO,4253,51758,19.3,68450,12.6,260.05
6,ALS CERES,4380,54308,19.2,71002,12.6,260
7,ALS CLIVIA,4400,51570,19.5,68316,12.5,262.08
8,ALS FAUNA,4275,51733,19.2,67900,12.62,261.4
9,ALS FLORA,4275,51750,19.2,67900,12.62,261.37
10,ALS JUNO,4256,50300,19.3,67907,12.6,261.05
11,ALS MARS,4363,53728,19.5,70949,12.75,264.21
12,AMALTHEA,4178,52788,19.1,70038,12.5,268.8
13,ANDROUSA,4249,50264,19.3,67907,12.6,261.03
14,ANL WANGARATTA,4250,50596,19.3,67304,12.6,260
15,ANL WARRNAMBOOL,4255,51807,19.3,68273,12.5,262.08
16,ANL WYONG,4250,50607,19.3,65911,12.6,260.71
17,ARGOLIKOS,4360,52513,19.3,68242,12.62,258.97
18,ARGOS,4249,49842,19.3,67907,12.6,261.06
19,BAHAMAS,4330,52173,19.3,68242,12.6,258.89
20,BAI CHAY BRIDGE,4432,52452,16.8,70779,12.72,266.65
21,BALTHASAR SCHULTE,4249,49856,19.3,67906,12.6,261.06
22,BALTIC NORTH,4432,52452,16.8,70779,12.72,266.65
23,BALTIC SOUTH,4432,52184,16.8,70779,12.72,266.65
24,BALTIMORE STAR,4255,51699,19.3,68274,12.5,262.07
25,BANGKOK BRIDGE,4432,52089,16.8,70779,12.72,266.65
26,BARTOLOMEU DIAS,4848,57818,19.6,76900,12.5,254.73
27,BASHT,4795,66441,21.8,86546,13.5,294.1
28,BAY BRIDGE,4432,52118,16.8,70779,12.72,266.65
29,BEA SCHULTE,4616,58350,21.5,76926,13.5,264
30,BEAR MOUNTAIN BRIDGE,4430,52118,16.8,70779,12.72,266.65
31,BEHNAVAZ,4795,66460,21.8,86546,13.5,294.1
32,BEIJING BRIDGE,4738,65002,21.8,86502,13.52,294.12
33,BERMUDA,4330,52382,19.3,68242,12.6,258.89
34,BERNHARD SCHULTE,4616,58350,21.5,76150,13.5,264.39
35,BOMAR MILIONE,4363,53641,19.55,70949,12.75,264.21
36,BROOKLYN BRIDGE,4432,52055,16.8,70779,12.72,266.65
37,BSG BAHAMAS,4255,51744,19.3,68273,12.5,262.05
38,CAP JACKSON,4616,59336,21.5,76926,13.5,264.31
39,CAP JERVIS,4616,59266,21.5,76926,13.5,264.32
40,CHESAPEAKE BAY,4253,50790,19.3,67271,12.6,260.05
41,CMA CGM ALGECIRAS,4253,50800,19.3,67271,12.6,260.1
42,CMA CGM AMERICA,4043,52683,19.1,70038,12.52,267.7
43,CMA CGM CAIMEP,4249,50246,19.3,68007,12.6,261.07
44,CMA CGM DUTCH HARBOR,4275,51653,19.2,67900,12.62,261.4
45,CMA CGM FORT DESAIX,4178,52788,19.1,70038,12.54,268.8
46,CMA CGM JAMAICA,4298,53663,19.3,70935,12.75,264.01
47,CMA CGM LAPIS,4360,52513,19.3,68242,12.62,259.8
48,CMA CGM MONTOIR,4294,53874,19.5,70949,12.75,264.21
49,CMA CGM SAMBHAR,4043,52683,19.1,70038,12.52,267.7
50,CMA CGM SAVANNAH,4294,53874,19.5,70949,12.75,264.21
51,CMA CGM TOPAZ,4360,52366,19.3,68242,12.6,259.8
52,CO KOBE,4506,50681,19.3,67271,12.6,259.8
53,CONSCIENTIA,4664,58197,19.6,78410,12.5,259.9
54,CONSTANTIA,4620,58027,19.6,78408,12.5,259.94
55,CONSTANTINOS P II,4249,49835,19.3,67906,12.6,261.03
